match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
Argentina vs Algeria,2026-06-17T01:02:00Z,2026-06-17T00:00:00+00:00,conversation-argentina-algeria-20260617,home,home,0.6253268223922936,1
Argentina vs Algeria,2026-06-17T01:02:00Z,2026-06-17T00:00:00+00:00,conversation-argentina-algeria-20260617,draw,home,0.21511516930077945,0
Argentina vs Algeria,2026-06-17T01:02:00Z,2026-06-17T00:00:00+00:00,conversation-argentina-algeria-20260617,away,home,0.1406119883620901,0
Austria vs Jordan,2026-06-17T04:02:00Z,2026-06-17T00:05:00+00:00,conversation-austria-jordan-20260617,home,home,0.6593352151325019,1
Austria vs Jordan,2026-06-17T04:02:00Z,2026-06-17T00:05:00+00:00,conversation-austria-jordan-20260617,draw,home,0.1824695081529837,0
Austria vs Jordan,2026-06-17T04:02:00Z,2026-06-17T00:05:00+00:00,conversation-austria-jordan-20260617,away,home,0.1352783694667212,0
Portugal vs DR Congo,2026-06-17T17:01:00Z,2026-06-17T00:10:00+00:00,conversation-portugal-rd-congo-20260617,home,draw,0.6881246638597429,0
Portugal vs DR Congo,2026-06-17T17:01:00Z,2026-06-17T00:10:00+00:00,conversation-portugal-rd-congo-20260617,draw,draw,0.17284770390273532,1
Portugal vs DR Congo,2026-06-17T17:01:00Z,2026-06-17T00:10:00+00:00,conversation-portugal-rd-congo-20260617,away,draw,0.10846084253584956,0
England vs Croatia,2026-06-17T20:00:00Z,2026-06-17T00:15:00+00:00,conversation-england-croatia-20260617,home,home,0.5290148114168528,1
England vs Croatia,2026-06-17T20:00:00Z,2026-06-17T00:15:00+00:00,conversation-england-croatia-20260617,draw,home,0.23958161335813674,0
England vs Croatia,2026-06-17T20:00:00Z,2026-06-17T00:15:00+00:00,conversation-england-croatia-20260617,away,home,0.21988984130311345,0
Ghana vs Panama,2026-06-17T23:00:00Z,2026-06-17T00:20:00+00:00,conversation-ghana-panama-20260618,home,home,0.42928669184110313,1
Ghana vs Panama,2026-06-17T23:00:00Z,2026-06-17T00:20:00+00:00,conversation-ghana-panama-20260618,draw,home,0.2697455214079981,0
Ghana vs Panama,2026-06-17T23:00:00Z,2026-06-17T00:20:00+00:00,conversation-ghana-panama-20260618,away,home,0.2942830381675052,0
Uzbekistan vs Colombia,2026-06-18T02:00:00Z,2026-06-17T00:25:00+00:00,conversation-uzbekistan-colombia-20260618,home,away,0.1312523164576703,0
Uzbekistan vs Colombia,2026-06-18T02:00:00Z,2026-06-17T00:25:00+00:00,conversation-uzbekistan-colombia-20260618,draw,away,0.19423790253981038,0
Uzbekistan vs Colombia,2026-06-18T02:00:00Z,2026-06-17T00:25:00+00:00,conversation-uzbekistan-colombia-20260618,away,away,0.6542982343577055,1
USA vs Australia,2026-06-19T19:00:00Z,2026-06-19T00:05:00+00:00,conversation-usa-australia-20260619,home,home,0.5643599085119145,1
USA vs Australia,2026-06-19T19:00:00Z,2026-06-19T00:05:00+00:00,conversation-usa-australia-20260619,draw,home,0.21721621538753466,0
USA vs Australia,2026-06-19T19:00:00Z,2026-06-19T00:05:00+00:00,conversation-usa-australia-20260619,away,home,0.20462707097026847,0
Scotland vs Morocco,2026-06-19T22:00:00Z,2026-06-19T00:10:00+00:00,conversation-scotland-morocco-20260620,home,away,0.19530279121340138,0
Scotland vs Morocco,2026-06-19T22:00:00Z,2026-06-19T00:10:00+00:00,conversation-scotland-morocco-20260620,draw,away,0.2469796483882015,0
Scotland vs Morocco,2026-06-19T22:00:00Z,2026-06-19T00:10:00+00:00,conversation-scotland-morocco-20260620,away,away,0.5470522334675862,1
Brazil vs Haiti,2026-06-20T00:32:00Z,2026-06-19T00:15:00+00:00,conversation-brazil-haiti-20260620,home,home,0.7465944639302219,1
Brazil vs Haiti,2026-06-20T00:32:00Z,2026-06-19T00:15:00+00:00,conversation-brazil-haiti-20260620,draw,home,0.08974811533091409,0
Brazil vs Haiti,2026-06-20T00:32:00Z,2026-06-19T00:15:00+00:00,conversation-brazil-haiti-20260620,away,home,0.06060959580436837,0
