match,commence_time,logged_at_utc,submission_id,score,actual_score,displayed_probability_pct,hit
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-3,1-1,2.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-3,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-4,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,0-5,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,1-5,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,2-5,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,3-5,1-1,0.0,0
Canada vs Bosnia & Herzegovina,2026-06-12T19:02:00Z,2026-06-11T00:03:00+00:00,conversation-04-canada,4-5,1-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-0,4-1,16.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-0,4-1,11.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-1,4-1,29.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-0,4-1,2.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-1,4-1,7.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-2,4-1,1.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-0,4-1,1.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-1,4-1,1.0,1
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-2,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-3,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-0,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-1,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-2,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-3,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-4,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-0,4-1,12.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-1,4-1,10.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-2,4-1,3.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-3,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-4,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-1,4-1,7.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-2,4-1,1.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-2,4-1,2.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-3,4-1,1.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-3,4-1,1.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-3,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-4,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-4,4-1,0.0,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-4,4-1,0.0,0
