commence_time,match,selected_score,actual_score,outcome_correct,exact_score_correct,base_points,exact_bonus_points,realized_points,expected_points,realized_minus_expected,source
2026-06-16T01:03:00Z,Iran vs New Zealand,1-1,2-2,True,False,116.0,0.0,116.0,37.509772425567355,78.49022757443265,nathan_pronos
2026-06-16T19:02:00Z,France vs Senegal,3-1,3-1,True,True,46.0,30.0,76.0,32.29036911800961,43.70963088199039,nathan_pronos
2026-06-16T22:00:00Z,Iraq vs Norway,0-3,1-4,True,False,30.0,0.0,30.0,28.446463317226087,1.5535366827739132,nathan_pronos
2026-06-17T01:02:00Z,Argentina vs Algeria,3-1,3-0,True,False,43.0,0.0,43.0,32.03806349957374,10.961936500426262,nathan_pronos
2026-06-17T04:02:00Z,Austria vs Jordan,2-0,3-1,True,False,38.0,0.0,38.0,30.279448419651423,7.720551580348577,nathan_pronos
2026-06-17T17:01:00Z,Portugal vs DR Congo,1-0,1-1,False,False,0.0,0.0,0.0,32.29787409898813,-32.29787409898813,nathan_pronos
2026-06-17T20:00:00Z,England vs Croatia,1-0,4-2,True,False,59.0,0.0,59.0,37.893833359413215,21.106166640586785,nathan_pronos
2026-06-17T23:00:00Z,Ghana vs Panama,2-0,1-0,True,False,73.0,0.0,73.0,37.132968784631075,35.867031215368925,nathan_pronos
2026-06-18T02:00:00Z,Uzbekistan vs Colombia,0-2,1-3,True,False,44.0,0.0,44.0,32.208828424566484,11.791171575433516,nathan_pronos
2026-06-18T16:00:00Z,Czech Republic vs South Africa,2-0,1-1,False,False,0.0,0.0,0.0,34.48981398618085,-34.48981398618085,nathan_pronos
2026-06-18T19:00:00Z,Switzerland vs Bosnia & Herzegovina,2-0,4-1,True,False,76.0,0.0,76.0,51.25702803608834,24.742971963911657,nathan_pronos
2026-06-18T22:00:00Z,Canada vs Qatar,2-0,6-0,True,False,71.0,0.0,71.0,56.713616229158255,14.286383770841745,nathan_pronos
2026-06-19T01:00:00Z,Mexico vs South Korea,1-0,1-0,True,True,69.0,50.0,119.0,38.13748073115903,80.86251926884097,nathan_pronos
2026-06-19T19:00:00Z,USA vs Australia,1-0,2-0,True,False,58.0,0.0,58.0,39.998140401346745,18.001859598653255,nathan_pronos
2026-06-19T22:00:00Z,Scotland vs Morocco,0-1,0-1,True,True,91.0,50.0,141.0,56.660093002805354,84.33990699719465,nathan_pronos
2026-06-20T00:32:00Z,Brazil vs Haiti,3-0,3-0,True,True,21.0,20.0,41.0,22.540283633574898,18.459716366425102,nathan_pronos
2026-06-20T03:00:00Z,Turkey vs Paraguay,2-0,0-1,False,False,0.0,0.0,0.0,43.74252887064639,-43.74252887064639,nathan_pronos
