snapshot_id,snapshot_file,date,time,home_team,away_team,matched_home_team,matched_away_team,home_probability,draw_probability,away_probability,home_points,draw_points,away_points,home_expected_points,draw_expected_points,away_expected_points,home_best_exact_score,draw_best_exact_score,away_best_exact_score,home_best_exact_score_probability,draw_best_exact_score_probability,away_best_exact_score_probability,home_best_exact_score_model_conditional_probability,draw_best_exact_score_model_conditional_probability,away_best_exact_score_model_conditional_probability,home_best_exact_score_conditional_probability,draw_best_exact_score_conditional_probability,away_best_exact_score_conditional_probability,home_best_exact_bonus_label,draw_best_exact_bonus_label,away_best_exact_bonus_label,home_best_exact_bonus_points,draw_best_exact_bonus_points,away_best_exact_bonus_points,home_exact_bonus_expected_points,draw_exact_bonus_expected_points,away_exact_bonus_expected_points,home_expected_boost_from_exact_score,draw_expected_boost_from_exact_score,away_expected_boost_from_exact_score,home_total_expected_points,draw_total_expected_points,away_total_expected_points,optimal_pick,optimal_exact_score,optimal_exact_bonus_label,optimal_pick_probability,optimal_pick_points,optimal_exact_score_probability,optimal_exact_score_model_conditional_probability,optimal_exact_score_conditional_probability,optimal_exact_bonus_points,optimal_base_expected_points,optimal_exact_bonus_expected_points,optimal_expected_points,second_best_pick,second_best_expected_points,expected_points_edge,base_only_optimal_pick,strategy_changed_by_exact_bonus,completed,actual_score,outcome_correct,exact_score_correct,realized_base_points,realized_exact_bonus_points,realized_points,realized_minus_expected_points
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-15,21:00,Belgium,Egypt,Belgium,Egypt,0.5664025380900627,0.23934532613544862,0.19425213577448872,57.0,122.0,135.0,32.28494467113357,29.20012978852473,26.224038329555977,1-0,1-1,0-1,0.11848881917138628,0.096518095171213,0.05466314691540152,0.21264835216711592,0.44729643658993634,0.2407924874196748,0.17610492489881194,0.3670920718318257,0.1880445261037228,Tres rare,Exact,Tres rare,50.0,20.0,50.0,5.924440958569313,1.93036190342426,2.733157345770076,5.924440958569313,1.93036190342426,2.733157345770076,38.209385629702886,31.13049169194899,28.957195675326055,Belgium,1-0,Tres rare,0.5664025380900627,57.0,0.11848881917138628,0.21264835216711592,0.17610492489881194,50.0,32.28494467113357,5.924440958569313,38.209385629702886,Draw,31.13049169194899,7.078893937753897,Belgium,False,True,1-1,False,False,0.0,0.0,0.0,-38.209385629702886
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-16,00:00,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,0.1505542538491063,0.22640548785974854,0.6230402582911452,146.0,125.0,50.0,21.98092106196952,28.30068598246857,31.152012914557258,1-0,1-1,0-1,0.05563617816733788,0.08739088399559426,0.11121653215713731,0.369901315997344,0.44048660813267954,0.17078821158057028,0.2992839884689564,0.35220623418487546,0.13651703233336243,Rare,Exact,Tres rare,30.0,20.0,50.0,1.6690853450201364,1.7478176799118852,5.560826607856866,1.6690853450201364,1.7478176799118852,5.560826607856866,23.650006406989657,30.048503662380455,36.71283952241412,Uruguay,0-1,Tres rare,0.6230402582911452,50.0,0.11121653215713731,0.17078821158057028,0.13651703233336243,50.0,31.152012914557258,5.560826607856866,36.71283952241412,Draw,30.048503662380455,6.664335860033667,Uruguay,False,True,1-1,False,False,0.0,0.0,0.0,-36.71283952241412
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-16,03:00,Iran,New Zealand,Iran,New Zealand,0.5139382026732965,0.2684568994007924,0.21760489792591106,63.0,116.0,130.0,32.37810676841768,31.14100033049192,28.288636730368438,1-0,1-1,0-2,0.13220883307853667,0.10486220827890654,0.04943146943231992,0.25925524690758495,0.4399802553506037,0.19638273297530298,0.21376592871703357,0.3513763987345799,0.1726317264864514,Rare,Exact,Tres rare,30.0,20.0,50.0,3.9662649923561,2.0972441655781306,2.4715734716159963,3.9662649923561,2.0972441655781306,2.4715734716159963,36.34437176077378,33.23824449607005,30.760210201984435,Iran,1-0,Rare,0.5139382026732965,63.0,0.13220883307853667,0.25925524690758495,0.21376592871703357,30.0,32.37810676841768,3.9662649923561,36.34437176077378,Draw,33.23824449607005,3.10612726470373,Iran,False,True,2-2,False,False,0.0,0.0,0.0,-36.34437176077378
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-16,21:00,France,Senegal,France,Senegal,0.6549611238859608,0.21176834387886254,0.13327053223517657,46.0,128.0,153.0,30.1282116987542,27.106348016494405,20.390391431982014,1-0,1-1,0-1,0.1362967467982065,0.08610267280543574,0.04407730302224824,0.20826889855971795,0.4404751912931908,0.293659906480889,0.17247084525198791,0.3521873477525888,0.22756115146257996,Tres rare,Exact,Rare,50.0,20.0,30.0,6.814837339910325,1.7220534561087146,1.3223190906674473,6.814837339910325,1.7220534561087146,1.3223190906674473,36.943049038664526,28.82840147260312,21.712710522649463,France,1-0,Tres rare,0.6549611238859608,46.0,0.1362967467982065,0.20826889855971795,0.17247084525198791,50.0,30.1282116987542,6.814837339910325,36.943049038664526,Draw,28.82840147260312,8.114647566061407,France,False,True,3-1,True,False,46.0,0.0,46.0,9.056950961335474
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-17,00:00,Iraq,Norway,Iraq,Norway,0.08612786003625453,0.1650240578731391,0.7488480820906064,178.0,144.0,30.0,15.330759086453305,23.763464333732028,22.46544246271819,1-0,1-1,0-2,0.03222021551106254,0.0644626347121381,0.17514502175245772,0.3678974803556407,0.44545321764243495,0.22814009518229061,0.29590686801405114,0.36170429964992074,0.20621213988482837,Rare,Exact,Rare,30.0,20.0,30.0,0.9666064653318763,1.289252694242762,5.254350652573732,0.9666064653318763,1.289252694242762,5.254350652573732,16.29736555178518,25.05271702797479,27.71979311529192,Norway,0-2,Rare,0.7488480820906064,30.0,0.17514502175245772,0.22814009518229061,0.20621213988482837,30.0,22.46544246271819,5.254350652573732,27.71979311529192,Draw,25.05271702797479,2.667076087317131,Draw,True,True,1-4,True,False,30.0,0.0,30.0,2.280206884708079
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-17,03:00,Argentina,Algeria,Argentina,Algeria,0.6704207609142265,0.2138179833572905,0.11576125572848296,43.0,129.0,159.0,28.82809271931174,27.582519853090474,18.406039660828792,1-0,1-1,0-1,0.1452501368187392,0.08438725696757186,0.04327297798838459,0.21700429146035582,0.43363609412331683,0.3180575852419572,0.17961054062750917,0.34194359442909744,0.24642098975733626,Tres rare,Exact,Rare,50.0,20.0,30.0,7.262506840936959,1.6877451393514373,1.2981893396515376,7.262506840936959,1.6877451393514373,1.2981893396515376,36.0905995602487,29.270264992441913,19.70422900048033,Argentina,1-0,Tres rare,0.6704207609142265,43.0,0.1452501368187392,0.21700429146035582,0.17961054062750917,50.0,28.82809271931174,7.262506840936959,36.0905995602487,Draw,29.270264992441913,6.8203345678067855,Argentina,False,True,3-0,True,False,43.0,0.0,43.0,6.909400439751302
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-17,06:00,Austria,Jordan,Austria,Jordan,0.7096013894560943,0.1812132685201951,0.10918534202371057,38.0,136.0,163.0,26.964852799331585,24.645004518746532,17.79721074986482,2-0,1-1,0-1,0.1391740365141595,0.07490002468459556,0.03348416039862989,0.19751855174844374,0.44744986461772773,0.26160642840273546,0.18481674283367946,0.3677581199771218,0.20251026063334485,Tres rare,Exact,Rare,50.0,20.0,30.0,6.9587018257079745,1.4980004936919111,1.0045248119588968,6.9587018257079745,1.4980004936919111,1.0045248119588968,33.92355462503956,26.143005012438444,18.80173556182372,Austria,2-0,Tres rare,0.7096013894560943,38.0,0.1391740365141595,0.19751855174844374,0.18481674283367946,50.0,26.964852799331585,6.9587018257079745,33.92355462503956,Draw,26.143005012438444,7.7805496126011136,Austria,False,False,,,,,,,
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-17,19:00,Portugal,DR Congo,Portugal,DR Congo,0.7424343815090237,0.16674798572195354,0.0908176327690227,34.0,140.0,170.0,25.24276897130681,23.344718001073495,15.438997570733859,2-0,1-1,0-1,0.1418573439505388,0.06859806401448129,0.028883313078766938,0.192458198287862,0.4476392337319658,0.26335464605675873,0.1802034689924183,0.36874948501053995,0.2035154362647051,Tres rare,Exact,Rare,50.0,20.0,30.0,7.092867197526941,1.371961280289626,0.8664993923630081,7.092867197526941,1.371961280289626,0.8664993923630081,32.33563616883375,24.71667928136312,16.305496963096868,Portugal,2-0,Tres rare,0.7424343815090237,34.0,0.1418573439505388,0.192458198287862,0.1802034689924183,50.0,25.24276897130681,7.092867197526941,32.33563616883375,Draw,24.71667928136312,7.618956887470631,Portugal,False,False,,,,,,,
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-17,22:00,England,Croatia,England,Croatia,0.5472877454644012,0.252372023452353,0.2003402310832459,59.0,119.0,133.0,32.28997698239967,30.032270790830005,26.645250734071702,1-0,1-1,0-2,0.13210587642825716,0.1017232270487377,0.04418162616324065,0.24569827139442094,0.4414951407367732,0.19050493296055154,0.20282807176311232,0.3539103501847329,0.16720664934021476,Rare,Exact,Tres rare,30.0,20.0,50.0,3.9631762928477148,2.0344645409747537,2.2090813081620326,3.9631762928477148,2.0344645409747537,2.2090813081620326,36.253153275247385,32.06673533180476,28.854332042233736,England,1-0,Rare,0.5472877454644012,59.0,0.13210587642825716,0.24569827139442094,0.20282807176311232,30.0,32.28997698239967,3.9631762928477148,36.253153275247385,Draw,32.06673533180476,4.186417943442628,England,False,False,,,,,,,
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-18,01:00,Ghana,Panama,Ghana,Panama,0.4738596465912307,0.26794716695424997,0.2581931864545193,73.0,113.0,116.0,34.591754201159844,30.27802986583025,29.950409628724238,2-0,1-1,0-2,0.09819244378514294,0.1081605937420587,0.05891376787575318,0.2111096197486095,0.4406219821759302,0.20357064441888992,0.1954851206457327,0.35243083446034124,0.17942760701937369,Tres rare,Exact,Tres rare,50.0,20.0,50.0,4.909622189257147,2.163211874841174,2.945688393787659,4.909622189257147,2.163211874841174,2.945688393787659,39.50137639041699,32.44124174067142,32.89609802251189,Ghana,2-0,Tres rare,0.4738596465912307,73.0,0.09819244378514294,0.2111096197486095,0.1954851206457327,50.0,34.591754201159844,4.909622189257147,39.50137639041699,Panama,32.89609802251189,6.6052783679051,Ghana,False,False,,,,,,,
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,2026-06-18,04:00,Uzbekistan,Colombia,Uzbekistan,Colombia,0.12137245274421929,0.20817742738738854,0.6704501198683922,157.0,130.0,44.0,19.055475080842427,27.06306556036051,29.49980527420926,1-0,1-1,0-1,0.047818840421825964,0.07983337457771643,0.11590217303072578,0.4009729846508892,0.43496865351767927,0.16623835540355375,0.32410663049393257,0.34381125111260913,0.13303805418295298,Exact,Exact,Tres rare,20.0,20.0,50.0,0.9563768084365193,1.5966674915543286,5.795108651536289,0.9563768084365193,1.5966674915543286,5.795108651536289,20.011851889278947,28.659733051914838,35.29491392574555,Colombia,0-1,Tres rare,0.6704501198683922,44.0,0.11590217303072578,0.16623835540355375,0.13303805418295298,50.0,29.49980527420926,5.795108651536289,35.29491392574555,Draw,28.659733051914838,6.635180873830709,Colombia,False,False,,,,,,,
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,2026-06-11,21:00,Mexico,South Africa,Mexico,South Africa,0.6663531372499512,0.21560192009454365,0.11804494265550519,49.0,125.0,148.0,32.65130372524761,26.950240011817957,17.47065151301477,1-0,0-0,0-1,0.1542059129449181,0.0870137505735661,0.04525702694186497,0.23188899695645515,0.43313692292926675,0.3374641340421082,0.19190016750590472,0.5482959616938595,0.2619240847569664,Tres rare,Exact,Rare,50.0,20.0,30.0,7.710295647245904,1.740275011471322,1.357710808255949,7.710295647245904,1.740275011471322,1.357710808255949,40.361599372493515,28.69051502328928,18.828362321270717,Mexico,1-0,Tres rare,0.6663531372499512,49.0,0.1542059129449181,0.23188899695645515,0.19190016750590472,50.0,32.65130372524761,7.710295647245904,40.361599372493515,Draw,28.69051502328928,11.671084349204236,Mexico,False,True,2-0,True,False,49.0,0.0,49.0,8.638400627506485
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,2026-06-12,04:00,South Korea,Czechia,South Korea,Czech Republic,0.3587195240364589,0.30281502388711934,0.33846545207642176,96.0,107.0,91.0,34.437074307500055,32.40120755592177,30.80035613895438,2-0,1-1,0-1,0.07407905815250343,0.11279535670980508,0.09513988985334654,0.20367862815284898,0.43517813215885154,0.25229294944030894,0.1877961691395224,0.34410929369102344,0.1988612444835552,Tres rare,Exact,Tres rare,50.0,20.0,50.0,3.7039529076251716,2.2559071341961014,4.756994492667327,3.7039529076251716,2.2559071341961014,4.756994492667327,38.14102721512523,34.65711469011787,35.55735063162171,South Korea,2-0,Tres rare,0.3587195240364589,96.0,0.07407905815250343,0.20367862815284898,0.1877961691395224,50.0,34.437074307500055,3.7039529076251716,38.14102721512523,Czechia,35.55735063162171,2.583676583503518,South Korea,False,True,2-1,True,False,96.0,0.0,96.0,57.85897278487477
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,2026-06-12,21:00,Canada,Bosnia,Canada,Bosnia & Herzegovina,0.5217616322071589,0.26372079568731377,0.2145175721055274,65.0,117.0,125.0,33.91450609346533,30.855333095415713,26.814696513190928,1-0,1-1,0-2,0.13768517074327433,0.10505552936767036,0.04800294672742254,0.2667601961340469,0.4364285169120364,0.19742504438593322,0.21997642518823868,0.34591624691976874,0.1735004764509216,Rare,Exact,Tres rare,30.0,20.0,50.0,4.1305551222982295,2.101110587353407,2.400147336371127,4.1305551222982295,2.101110587353407,2.400147336371127,38.04506121576355,32.95644368276912,29.214843849562055,Canada,1-0,Rare,0.5217616322071589,65.0,0.13768517074327433,0.2667601961340469,0.21997642518823868,30.0,33.91450609346533,4.1305551222982295,38.04506121576355,Draw,32.95644368276912,5.088617532994434,Canada,False,True,1-1,False,False,0.0,0.0,0.0,-38.04506121576355
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,2026-06-13,03:00,United States,Paraguay,USA,Paraguay,0.47878235736233665,0.2770433088822396,0.24417433375542377,74.0,113.0,115.0,35.42989444481291,31.305893903693075,28.080048381873734,1-0,1-1,0-2,0.13630874533876838,0.1089993212356419,0.056427175062459665,0.28689497158633054,0.433721350239901,0.20626161174991897,0.236251327491563,0.34206169489150967,0.18172850746264216,Rare,Exact,Tres rare,30.0,20.0,50.0,4.089262360163051,2.179986424712838,2.821358753122983,4.089262360163051,2.179986424712838,2.821358753122983,39.519156804975964,33.48588032840591,30.901407134996717,United States,1-0,Rare,0.47878235736233665,74.0,0.13630874533876838,0.28689497158633054,0.236251327491563,30.0,35.42989444481291,4.089262360163051,39.519156804975964,Draw,33.48588032840591,6.033276476570052,United States,False,True,4-1,True,False,74.0,0.0,74.0,34.480843195024036
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,2026-06-13,21:00,Qatar,Switzerland,Qatar,Switzerland,0.07629519272133452,0.15286809464464302,0.7708367126340224,172.0,141.0,33.0,13.122773148069538,21.554401344894664,25.43761151692274,1-0,1-1,0-2,0.031207674715425283,0.061979418136390275,0.19166220579866236,0.4145753017976835,0.4365179977404006,0.24486131074810574,0.3337327981290734,0.3460475191771982,0.22088010683760914,Exact,Exact,Rare,20.0,20.0,30.0,0.6241534943085056,1.2395883627278055,5.74986617395987,0.6241534943085056,1.2395883627278055,5.74986617395987,13.746926642378043,22.79398970762247,31.18747769088261,Switzerland,0-2,Rare,0.7708367126340224,33.0,0.19166220579866236,0.24486131074810574,0.22088010683760914,30.0,25.43761151692274,5.74986617395987,31.18747769088261,Draw,22.79398970762247,8.39348798326014,Switzerland,False,True,1-1,False,False,0.0,0.0,0.0,-31.18747769088261
