commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-19T19:00:00Z,USA vs Australia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,1-0,2-0,True,False,58.0,58.0,0.0,58.0,0.5959697571355351,0.10577550599883209,0.06493506493506493,Tres rare,50.0,51.35304658855222,39.998140401346745,41.24931625748472
2026-06-19T22:00:00Z,Scotland vs Morocco,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,0-1,0-1,True,True,91.0,91.0,50.0,141.0,0.5536963727930095,0.1254744344801271,0.09876543209876543,Tres rare,50.0,50.00001079610474,56.660093002805354,56.5299950373223
2026-06-20T00:32:00Z,Brazil vs Haiti,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,2-0,3-0,True,False,21.0,21.0,0.0,21.0,0.8667732401615486,0.10734148430676609,0.10144927536231885,Tres rare,50.0,50.000002676240946,23.5693125460025,25.223015516898474
2026-06-20T03:00:00Z,Turkey vs Paraguay,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260618T045027Z.csv,2-0,0-1,False,False,84.0,0.0,0.0,0.0,0.473958264741757,0.07860097899481379,0.15714285714285714,Tres rare,50.0,49.99981784702852,43.74252887064639,44.86618891832318
2026-06-20T17:00:00Z,Netherlands vs Sweden,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,5-1,True,False,67.0,67.0,0.0,67.0,0.5544434846659608,0.08039670195523439,0.12962962962962962,Tres rare,50.0,49.999999999980375,41.167548570379516,43.416567838831185
2026-06-20T20:00:00Z,Germany vs Ivory Coast,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-1,2-1,False,False,137.0,0.0,0.0,0.0,0.21450475026324212,0.08317144266340412,0.4444444444444444,Exact,20.0,20.0,31.050579639332252,31.143882420846353
2026-06-21T00:00:00Z,Ecuador vs Curaçao,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,2-0,0-0,False,False,41.0,0.0,0.0,0.0,0.8760387032831305,0.13234591739430576,0.2692307692307692,Rare,30.0,29.989542536741805,39.886580353869,44.16503581826596
2026-06-21T04:00:00Z,Tunisia vs Japan,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,0-1,0-4,True,False,91.0,91.0,0.0,91.0,0.6271803358681578,0.12571065540744866,0.10126582278481013,Tres rare,50.0,50.000002950491464,63.35894370528301,63.14641767771966
2026-06-21T16:00:00Z,Spain vs Saudi Arabia,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,2-0,4-0,True,False,31.0,31.0,0.0,31.0,0.8683772117388139,0.11296729678147988,0.1686746987951807,Tres rare,50.0,49.98266933557494,32.5661006046657,35.33638879754636
2026-06-21T19:00:00Z,Belgium vs Iran,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260620T103039Z.csv,1-0,0-0,False,False,39.0,0.0,0.0,0.0,0.6731927385682102,0.10849531725011527,0.04597701149425287,Mega rare,70.0,63.12598490563381,33.10339056322292,33.36063880190895
