match_number,match_date,stage,home_team,away_team,home_score,away_score,result,home_odds,draw_odds,away_odds,home_implied_probability,draw_implied_probability,away_implied_probability,overround,home_vig_free_probability,draw_vig_free_probability,away_vig_free_probability,source_date,source_stage,source_status,source_home_score,source_away_score,source_result,official_date,official_stage,official_home_score,official_away_score,official_result,date_mismatch,score_mismatch,source_file
45,2022-12-02,Group G,Cameroon,Brazil,1,0,home,11.0,5.3,1.37,0.09090909090909091,0.18867924528301888,0.7299270072992701,1.0095153434913797,0.09005221316863242,0.1869008197839541,0.7230469670474136,2022-12-02,Group Stage,Finished,1,0,home,2022-12-02,Group G,1,0,home,False,False,data/historical/odds_2022_unformatted.txt
46,2022-12-02,Group H,Ghana,Uruguay,0,2,away,4.9,3.8,1.85,0.2040816326530612,0.2631578947368421,0.5405405405405405,1.0077800679304438,0.20250612127322482,0.26112631427336885,0.5363675644534063,2022-12-02,Group Stage,Finished,0,2,away,2022-12-02,Group H,0,2,away,False,False,data/historical/odds_2022_unformatted.txt
47,2022-12-02,Group G,Serbia,Switzerland,2,3,away,2.55,3.45,2.95,0.3921568627450981,0.2898550724637681,0.3389830508474576,1.0209949860563239,0.38409283894707047,0.2838947070478347,0.33201245400509477,2022-12-02,Group Stage,Finished,2,3,away,2022-12-02,Group G,2,3,away,False,False,data/historical/odds_2022_unformatted.txt
48,2022-12-02,Group H,South Korea,Portugal,2,1,home,4.5,3.95,1.85,0.2222222222222222,0.2531645569620253,0.5405405405405405,1.015927319724788,0.21873830726633242,0.24919553992366983,0.5320661528099977,2022-12-02,Group Stage,Finished,2,1,home,2022-12-02,Group H,2,1,home,False,False,data/historical/odds_2022_unformatted.txt
49,2022-12-03,Round of 16,Argentina,Australia,2,1,home,1.3,6.5,11.5,0.7692307692307692,0.15384615384615385,0.08695652173913043,1.0100334448160535,0.7615894039735098,0.152317880794702,0.08609271523178808,2022-12-03,Play Offs,Finished,2,1,home,2022-12-03,Round of 16,2,1,home,False,False,data/historical/odds_2022_unformatted.txt
50,2022-12-03,Round of 16,Netherlands,USA,3,1,home,1.98,3.4,4.6,0.5050505050505051,0.29411764705882354,0.2173913043478261,1.0165594564571547,0.49682337992376113,0.2893265565438373,0.21385006353240155,2022-12-03,Play Offs,Finished,3,1,home,2022-12-03,Round of 16,3,1,home,False,False,data/historical/odds_2022_unformatted.txt
51,2022-12-04,Round of 16,England,Senegal,3,0,home,1.64,3.75,7.0,0.6097560975609756,0.26666666666666666,0.14285714285714285,1.019279907084785,0.5982224247948952,0.26162260711030083,0.14015496809480402,2022-12-04,Play Offs,Finished,3,0,home,2022-12-04,Round of 16,3,0,home,False,False,data/historical/odds_2022_unformatted.txt
52,2022-12-04,Round of 16,France,Poland,3,1,home,1.39,5.2,9.5,0.7194244604316548,0.1923076923076923,0.10526315789473684,1.0169953106340839,0.7074019446393539,0.18909398135551958,0.1035040740051265,2022-12-04,Play Offs,Finished,3,1,home,2022-12-04,Round of 16,3,1,home,False,False,data/historical/odds_2022_unformatted.txt
53,2022-12-05,Round of 16,Brazil,South Korea,4,1,home,1.24,6.75,15.0,0.8064516129032259,0.14814814814814814,0.06666666666666667,1.0212664277180408,0.7896583996256433,0.14506317267197003,0.06527842770238651,2022-12-05,Play Offs,Finished,4,1,home,2022-12-05,Round of 16,4,1,home,False,False,data/historical/odds_2022_unformatted.txt
54,2022-12-05,Round of 16,Japan,Croatia,1,1,draw,3.95,3.3,2.14,0.2531645569620253,0.30303030303030304,0.4672897196261682,1.0234845796184966,0.24735551663747807,0.29607705779334503,0.45656742556917684,2022-12-05,Play Offs,After Pen.,1,2,away,2022-12-05,Round of 16,1,1,draw,False,True,data/historical/odds_2022_unformatted.txt
