match_number,match_date,home_team,away_team,result,home_probability,draw_probability,away_probability,actual_outcome_probability,favorite,favorite_probability,favorite_correct,surprise_score
23,2022-11-26,Poland,Saudi Arabia,home,0.5507015787235794,0.27007008929183757,0.17922833198458313,0.5507015787235794,home,0.5507015787235794,True,0.5965622159599033
24,2022-11-26,Tunisia,Australia,away,0.4460992907801418,0.2886524822695036,0.26524822695035455,0.26524822695035455,home,0.4460992907801418,False,1.3270891859576823
25,2022-11-27,Belgium,Morocco,away,0.5158120970217992,0.2800122812404053,0.20417562173779555,0.20417562173779555,home,0.5158120970217992,False,1.5887747646203791
26,2022-11-27,Croatia,Canada,home,0.4386446076262939,0.2946120498982571,0.266743342475449,0.4386446076262939,home,0.4386446076262939,True,0.8240657435955953
27,2022-11-27,Japan,Costa Rica,away,0.6545554638040186,0.22570878062207542,0.11973575557390585,0.11973575557390585,home,0.6545554638040186,False,2.122468001132518
28,2022-11-27,Spain,Germany,draw,0.3834529656214583,0.2793728749527767,0.337174159425765,0.2793728749527767,home,0.3834529656214583,False,1.275207920076247
29,2022-11-28,Brazil,Switzerland,home,0.6556053811659194,0.22869955156950675,0.115695067264574,0.6556053811659194,home,0.6556053811659194,True,0.42219622414444047
30,2022-11-28,Cameroon,Serbia,draw,0.17074426989441152,0.25173834663919653,0.577517383466392,0.25173834663919653,away,0.577517383466392,False,1.3793650378721463
31,2022-11-28,Portugal,Uruguay,home,0.49403341288782815,0.2863961813842482,0.2195704057279236,0.49403341288782815,home,0.49403341288782815,True,0.7051521266567686
32,2022-11-28,South Korea,Ghana,away,0.35121951219512193,0.30731707317073165,0.34146341463414626,0.34146341463414626,home,0.35121951219512193,False,1.0745147370890495
33,2022-11-29,Ecuador,Senegal,away,0.39365452408930673,0.31492361927144535,0.2914218566392479,0.2914218566392479,home,0.39365452408930673,False,1.232983382408392
34,2022-11-29,Iran,USA,away,0.2224275042172062,0.2756847939593542,0.5018877018234397,0.5018877018234397,away,0.5018877018234397,True,0.689378885862264
35,2022-11-29,Netherlands,Qatar,home,0.808649593746786,0.13331790599609172,0.05803250025712229,0.808649593746786,home,0.808649593746786,True,0.21238959080096104
36,2022-11-29,Wales,England,away,0.10300429184549356,0.21745350500715308,0.6795422031473534,0.6795422031473534,away,0.6795422031473534,True,0.38633593819916906
37,2022-11-30,Australia,Denmark,home,0.11332836696200727,0.1971913585138926,0.6894802745241001,0.11332836696200727,away,0.6894802745241001,False,2.1774657719236696
38,2022-11-30,Poland,Argentina,away,0.11479358187184098,0.2076054140235422,0.6776010041046169,0.6776010041046169,away,0.6776010041046169,True,0.38919665379087903
39,2022-11-30,Saudi Arabia,Mexico,away,0.1778020179983638,0.2222525224979547,0.5999454595036814,0.5999454595036814,away,0.5999454595036814,True,0.510916528724919
40,2022-11-30,Tunisia,France,home,0.15479954318687264,0.24689547394361963,0.5983049828695078,0.15479954318687264,away,0.5983049828695078,False,1.8656242688200593
41,2022-12-01,Canada,Morocco,away,0.20635404597841328,0.2722726995548509,0.5213732544667358,0.5213732544667358,away,0.5213732544667358,True,0.6512890744126397
42,2022-12-01,Costa Rica,Germany,away,0.03198781416603199,0.08263518659558264,0.8853769992383854,0.8853769992383854,away,0.8853769992383854,True,0.12174173684128477
43,2022-12-01,Croatia,Belgium,draw,0.31861892114662516,0.27823060719846143,0.4031504716549134,0.27823060719846143,away,0.4031504716549134,False,1.279304986858348
44,2022-12-01,Japan,Spain,home,0.1325903151421983,0.21329746348962342,0.6541122213681784,0.1325903151421983,away,0.6541122213681784,False,2.020491242041091
45,2022-12-02,Cameroon,Brazil,home,0.09005221316863242,0.1869008197839541,0.7230469670474136,0.09005221316863242,away,0.7230469670474136,False,2.407365630553551
46,2022-12-02,Ghana,Uruguay,away,0.20250612127322482,0.26112631427336885,0.5363675644534063,0.5363675644534063,away,0.5363675644534063,True,0.6229355983563157
47,2022-12-02,Serbia,Switzerland,away,0.38409283894707047,0.2838947070478347,0.33201245400509477,0.33201245400509477,home,0.38409283894707047,False,1.10258279870567
48,2022-12-02,South Korea,Portugal,home,0.21873830726633242,0.24919553992366983,0.5320661528099977,0.21873830726633242,away,0.5320661528099977,False,1.5198792076698149
49,2022-12-03,Argentina,Australia,home,0.7615894039735098,0.152317880794702,0.08609271523178808,0.7615894039735098,home,0.7615894039735098,True,0.2723477084516744
50,2022-12-03,Netherlands,USA,home,0.49682337992376113,0.2893265565438373,0.21385006353240155,0.49682337992376113,home,0.49682337992376113,True,0.6995206884320374
51,2022-12-04,England,Senegal,home,0.5982224247948952,0.26162260711030083,0.14015496809480402,0.5982224247948952,home,0.5982224247948952,True,0.5137926463693967
52,2022-12-04,France,Poland,home,0.7074019446393539,0.18909398135551958,0.1035040740051265,0.7074019446393539,home,0.7074019446393539,True,0.3461562532191241
53,2022-12-05,Brazil,South Korea,home,0.7896583996256433,0.14506317267197003,0.06527842770238651,0.7896583996256433,home,0.7896583996256433,True,0.23615483257246286
54,2022-12-05,Japan,Croatia,draw,0.24735551663747807,0.29607705779334503,0.45656742556917684,0.29607705779334503,away,0.45656742556917684,False,1.2171355281552285
55,2022-12-06,Morocco,Spain,draw,0.15632679973625846,0.24426062458790382,0.5994125756758376,0.24426062458790382,away,0.5994125756758376,False,1.4095194901807107
56,2022-12-06,Portugal,Switzerland,home,0.5062462819750149,0.2736466389054134,0.2201070791195717,0.5062462819750149,home,0.5062462819750149,True,0.6807320048352414
57,2022-12-09,Croatia,Brazil,draw,0.10854194534683735,0.20351614752532007,0.6879419071278425,0.20351614752532007,away,0.6879419071278425,False,1.5920099282286824
58,2022-12-09,Netherlands,Argentina,draw,0.25572928991390137,0.308498825927881,0.43577188415821766,0.308498825927881,away,0.43577188415821766,False,1.1760372413882443
59,2022-12-10,England,France,away,0.3285917496443812,0.31294452347083923,0.3584637268847795,0.3584637268847795,away,0.3584637268847795,True,1.0259278042992417
60,2022-12-10,Morocco,Portugal,home,0.15075453364084435,0.2480770806748071,0.6011683856843486,0.15075453364084435,away,0.6011683856843486,False,1.8921023699242712
61,2022-12-13,Argentina,Croatia,home,0.486969964664311,0.3122791519434629,0.20075088339222613,0.486969964664311,home,0.486969964664311,True,0.7195528320020724
62,2022-12-14,France,Morocco,home,0.603520536462699,0.24895222129086333,0.14752724224643754,0.603520536462699,home,0.603520536462699,True,0.5049752100878153
63,2022-12-17,Croatia,Morocco,home,0.4226430069731844,0.2714439594081297,0.3059130336186858,0.4226430069731844,home,0.4226430069731844,True,0.8612274114126384
64,2022-12-18,Argentina,France,draw,0.35782747603833864,0.30670926517571884,0.3354632587859425,0.30670926517571884,home,0.35782747603833864,False,1.181854999072317
