event_id,commence_time,home_team,away_team,home_score,away_score,final_score,optimal_pick,optimal_exact_score,outcome_correct,exact_score_correct,base_points,actual_exact_bonus_points,total_points,api_last_update
b55f9569de3f4d731bc5537ff5ff43e4,2026-06-15T02:00:00Z,Sweden,Tunisia,5,1,5-1,Sweden,1-0,True,False,72.0,0.0,72.0,2026-06-17T03:53:47Z
c54f00b11925751d2b62988775c6c239,2026-06-15T16:01:00Z,Spain,Cape Verde,0,0,0-0,Spain,2-0,False,False,0.0,20.0,0.0,2026-06-18T04:12:02Z
fbfb95c62003fd6d828b309f96ee1f9b,2026-06-15T19:00:00Z,Belgium,Egypt,1,1,1-1,Belgium,1-0,False,False,0.0,20.0,0.0,2026-06-18T04:12:02Z
64b91c5f2db61c7358a4f05459e83c52,2026-06-15T22:03:00Z,Saudi Arabia,Uruguay,1,1,1-1,Uruguay,0-1,False,False,0.0,20.0,0.0,2026-06-18T04:12:02Z
ec51b9c44ad5e34552f3ab53f7262813,2026-06-16T01:03:00Z,Iran,New Zealand,2,2,2-2,Iran,1-0,False,False,0.0,50.0,0.0,2026-06-18T04:12:02Z
73a4fcd14cc9766b9b9bfd50b8ca153a,2026-06-16T19:02:00Z,France,Senegal,3,1,3-1,France,1-0,True,False,46.0,50.0,46.0,2026-06-18T04:12:02Z
4d4f2b9b78182b557d4fbf8dcf4f4af2,2026-06-16T22:00:00Z,Iraq,Norway,1,4,1-4,Norway,0-2,True,False,30.0,70.0,30.0,2026-06-18T04:12:02Z
f31b2ee9e1cc6f7e641467f8237eaa21,2026-06-17T01:02:00Z,Argentina,Algeria,3,0,3-0,Argentina,1-0,True,False,43.0,50.0,43.0,2026-06-18T04:12:02Z
25161cf6cf0cd9be17ae2e7e224a1f45,2026-06-17T04:02:00Z,Austria,Jordan,3,1,3-1,Austria,2-0,True,False,38.0,50.0,38.0,2026-06-18T04:12:02Z
6cc871c121a1869b4612d3fb22fa9d55,2026-06-17T17:01:00Z,Portugal,DR Congo,1,1,1-1,Portugal,2-0,False,False,0.0,20.0,0.0,2026-06-18T04:12:02Z
689096c8cd7e2753b9fec95321943c5d,2026-06-17T20:00:00Z,England,Croatia,4,2,4-2,England,1-0,True,False,59.0,100.0,59.0,2026-06-18T04:12:02Z
87afdb85c977b451e1c00f5e3e632601,2026-06-17T23:00:00Z,Ghana,Panama,1,0,1-0,Ghana,2-0,True,False,73.0,20.0,73.0,2026-06-18T04:12:02Z
22083e7a8e5362c711bc05c1e1319a1f,2026-06-18T02:00:00Z,Uzbekistan,Colombia,1,3,1-3,Colombia,0-1,True,False,44.0,50.0,44.0,2026-06-18T04:12:02Z
66ebb9e3f949caded535d97ce686ca09,2026-06-18T16:00:00Z,Czech Republic,South Africa,1,1,1-1,Czechia,1-0,False,False,0.0,20.0,0.0,2026-06-21T11:25:11Z
289bc2e9f5adad8ae4d9a75a7c5461ad,2026-06-18T19:00:00Z,Switzerland,Bosnia & Herzegovina,4,1,4-1,Switzerland,1-0,True,False,76.0,70.0,76.0,2026-06-21T11:25:11Z
fa9502285b257b03e62968d50d9229fc,2026-06-18T22:00:00Z,Canada,Qatar,6,0,6-0,Canada,1-0,True,False,71.0,0.0,71.0,2026-06-21T11:25:11Z
0f2aeae6ac8e77223848d23a4ca86b0d,2026-06-19T01:00:00Z,Mexico,South Korea,1,0,1-0,Mexico,1-0,True,True,69.0,30.0,99.0,2026-06-21T11:25:11Z
065b3573e875f8d23803357f73e5b99e,2026-06-19T19:00:00Z,USA,Australia,2,0,2-0,United States,1-0,True,False,58.0,30.0,58.0,2026-06-22T08:26:51Z
4cd769aa7bae0ad9762bd69b80ef2903,2026-06-19T22:00:00Z,Scotland,Morocco,0,1,0-1,Morocco,0-1,True,True,91.0,50.0,141.0,2026-06-22T08:26:51Z
ef0f74a991d3e35798ae5af77667bce1,2026-06-20T00:32:00Z,Brazil,Haiti,3,0,3-0,Brazil,2-0,True,False,21.0,50.0,21.0,2026-06-22T08:26:51Z
f955d4b3395ce6e3b5ac1031ca52ca4e,2026-06-20T03:00:00Z,Turkey,Paraguay,0,1,0-1,Turkey,2-0,False,False,0.0,30.0,0.0,2026-06-22T08:26:51Z
4f0c518545b0096c68326daf25bffc1e,2026-06-20T17:00:00Z,Netherlands,Sweden,5,1,5-1,Netherlands,1-0,True,False,67.0,0.0,67.0,2026-06-23T10:28:17Z
f1ab0f69832972a329243522ceaa7804,2026-06-20T20:00:00Z,Germany,Ivory Coast,2,1,2-1,Draw,1-1,False,False,0.0,30.0,0.0,2026-06-23T10:28:17Z
681895f294b670b4c7b14495dfb583bc,2026-06-21T00:00:00Z,Ecuador,Curaçao,0,0,0-0,Ecuador,2-0,False,False,0.0,20.0,0.0,2026-06-23T10:28:17Z
dfc5202cf1b8ae002cf952cd04f235b9,2026-06-21T04:00:00Z,Tunisia,Japan,0,4,0-4,Japan,0-1,True,False,91.0,70.0,91.0,2026-06-23T10:28:17Z
73529a242e319a86bf3d00ddb4accc37,2026-06-21T16:00:00Z,Spain,Saudi Arabia,4,0,4-0,Spain,2-0,True,False,31.0,50.0,31.0,2026-06-24T09:25:44Z
5f92f257386ec5bf7c6e2498a21f3a61,2026-06-21T19:00:00Z,Belgium,Iran,0,0,0-0,Belgium,1-0,False,False,0.0,20.0,0.0,2026-06-24T09:25:44Z
852a3abe6d46820720febc0fedebff9a,2026-06-21T22:00:00Z,Uruguay,Cape Verde,2,2,2-2,Uruguay,1-0,False,False,0.0,50.0,0.0,2026-06-24T09:25:44Z
c1ec9a65f4b4cf74477b368a7d6282de,2026-06-22T01:00:00Z,New Zealand,Egypt,1,3,1-3,Egypt,0-1,True,False,59.0,50.0,59.0,2026-06-24T09:25:44Z
be6c63f416c67bca1300a98f5b89c3af,2026-06-22T17:00:00Z,Argentina,Austria,2,0,2-0,Argentina,1-0,True,False,63.0,30.0,63.0,2026-06-24T09:25:44Z
7ad7a0ce2ef2618bb59b066da5642f70,2026-06-22T21:00:00Z,France,Iraq,3,0,3-0,France,2-0,True,False,22.0,50.0,22.0,2026-06-24T09:25:44Z
3f48473742ca0fd2a85930554720c75e,2026-06-23T00:00:00Z,Norway,Senegal,3,2,3-2,Senegal,0-1,False,False,0.0,70.0,0.0,2026-06-24T09:25:44Z
fd8533b650e655030f6a7946f8795db2,2026-06-23T03:00:00Z,Jordan,Algeria,1,2,1-2,Algeria,0-1,True,False,67.0,30.0,67.0,2026-06-24T09:25:44Z
8ba93d190f1f934e33862a97a6353a6e,2026-06-23T17:00:00Z,Portugal,Uzbekistan,5,0,5-0,Portugal,2-0,True,False,24.0,0.0,24.0,2026-06-24T09:25:44Z
2f49dd8deae3079dc4eb2d634d18a99c,2026-06-23T20:00:00Z,England,Ghana,0,0,0-0,England,1-0,False,False,0.0,20.0,0.0,2026-06-24T09:25:44Z
c1bc8c26480cd42b89a0de5329581314,2026-06-23T23:00:00Z,Panama,Croatia,0,1,0-1,Draw,1-1,False,False,0.0,50.0,0.0,2026-06-24T09:25:44Z
68bfc965eb267508e04d8e8d75c1a0ae,2026-06-24T02:00:00Z,Colombia,DR Congo,1,0,1-0,Colombia,1-0,True,True,77.0,30.0,107.0,2026-06-24T09:25:44Z
512ac18beb5aa936a59f7ea3e497ada2,2026-06-24T19:00:00Z,Bosnia & Herzegovina,Qatar,3,1,3-1,Bosnia,2-0,True,False,87.0,50.0,87.0,2026-06-25T00:22:42Z
c9ef5822ee64fd5275f7c73251bb56c7,2026-06-24T19:00:00Z,Switzerland,Canada,2,1,2-1,Canada,0-1,False,False,0.0,20.0,0.0,2026-06-25T00:22:42Z
d1279ce7f33136a33e99ad442fc855e8,2026-06-24T22:00:00Z,Morocco,Haiti,4,2,4-2,Morocco,2-0,True,False,29.0,100.0,29.0,2026-06-25T00:22:42Z
885ba95805db310a7bcc3fb1a7a6dd28,2026-06-24T22:01:00Z,Scotland,Brazil,0,3,0-3,Brazil,0-2,True,False,48.0,50.0,48.0,2026-06-25T00:22:42Z
5993bd5196ca09f83990f0c3261e442e,2026-06-25T01:00:00Z,Czech Republic,Mexico,0,3,0-3,Mexico,0-1,True,False,91.0,50.0,91.0,2026-06-25T23:52:20Z
c0355dfc6e26ec327e379b6ef5824a5f,2026-06-25T01:00:00Z,South Africa,South Korea,1,0,1-0,South Korea,0-1,False,False,0.0,20.0,0.0,2026-06-25T23:52:20Z
a5a0b544a984ab16e564264f3e859b43,2026-06-25T20:00:00Z,Curaçao,Ivory Coast,0,2,0-2,Ivory Coast,0-3,True,False,53.0,30.0,53.0,2026-06-25T23:52:20Z
0ec28b84ec399bd4dffbe8d1bc72b3c4,2026-06-25T20:00:00Z,Ecuador,Germany,2,1,2-1,Ecuador,1-0,True,False,145.0,20.0,145.0,2026-06-25T23:52:20Z
